state,year,month,api
Johor,2021,1,34.58064516
Johor,2021,2,53.27232143
Johor,2021,3,52.42069892
Johor,2021,4,53.03055556
Johor,2021,5,45.56989247
Johor,2021,6,53.01527778
Johor,2021,7,53.86962366
Johor,2021,8,40.8172043
Johor,2021,9,43.09305556
Johor,2021,10,48.94892473
Johor,2021,11,39.28611111
Johor,2021,12,37.37096774
Johor,2022,1,36.59757739
Johor,2022,2,35.33281734
Johor,2022,3,40.24104683
Johor,2022,4,44.28428571
Johor,2022,5,43.98076923
Terengganu,2017,1,
Terengganu,2017,2,
Terengganu,2017,3,
Terengganu,2017,4,20.78716216
Terengganu,2017,5,20.44728916
Terengganu,2017,6,18.50722543
Terengganu,2017,7,21.88575269
Terengganu,2017,8,19.96211096
Terengganu,2017,9,18.58055556
Terengganu,2017,10,19.89889197
Terengganu,2017,11,16.55500821
Terengganu,2017,12,22.04700162
Terengganu,2018,1,19.41239892
Terengganu,2018,2,26.44537815
Terengganu,2018,3,21.53360215
Terengganu,2018,4,22.08077994
Terengganu,2018,5,20.51075269
Terengganu,2018,6,26.13630042
Terengganu,2018,7,27.36941813
Terengganu,2018,8,44.16397849
Terengganu,2018,9,43.2625
Terengganu,2018,10,47.90994624
Terengganu,2018,11,38.24305556
Terengganu,2018,12,30.27284946
Terengganu,2019,1,41.0672043
Terengganu,2019,2,45.86309524
Terengganu,2019,3,57.66397849
Terengganu,2019,4,54.81527778
Terengganu,2019,5,52.70564516
Terengganu,2019,6,40.8
Terengganu,2019,7,53.23252688
Terengganu,2019,8,56.84005376
Terengganu,2019,9,64.10833333
Terengganu,2019,10,32.76209677
Terengganu,2019,11,31.24166667
Terengganu,2019,12,39.71505376
Terengganu,2020,1,41.42204301
Terengganu,2020,2,42.29022989
Terengganu,2020,3,48.01344086
Terengganu,2020,4,41.85277778
Terengganu,2020,5,43.34811828
Terengganu,2020,6,35.68162693
Terengganu,2020,7,35.07258065
Terengganu,2020,8,52.1061828
